участок,ebyte,ld58,канал,назначение,режим,объект,примечание,комментарий
Дубна 6,53,207,6,Дом,Постоянный,"заградительные ворота №104, правый берег",,
Дубна 6,53,207,7,Фонарь,ШИМ,,вдоль вокзала,
Дубна 6,53,207,8,Фонарь,ШИМ,,городские,
Дубна 7,32,199,1,Дом,Постоянный,Дом международных совещаний ОИЯИ,,
Дубна 7,32,199,2,Дом,Постоянный,"Болгарский дом ""Атом не солдат!""",подъезды,
Дубна 7,32,199,3,Дом,Постоянный,"Болгарский дом ""Атом не солдат!""",гр1,
Дубна 7,32,199,4,Дом,Постоянный,"Болгарский дом ""Атом не солдат!""",гр2,
Дубна 7,32,199,5,Дом,Постоянный,"Болгарский дом ""Атом не солдат!""",гр3,
Дубна 7,32,199,6,Дом,Постоянный,"Болгарский дом ""Атом не солдат!""",гр4,
Дубна 7,32,199,7,Фонарь,ШИМ,,двойные в сквере,
Дубна 7,32,199,8,---,Постоянный,,,
Дубна 7,32,200,1,Дом,Постоянный,д/с,ЖК высотка гр1,
Дубна 7,32,200,2,Дом,Постоянный,д/с,ЖК высотка гр2,
Дубна 7,32,200,3,Машинка,Постоянный,,,
Дубна 7,32,200,4,Дом,Постоянный,бассейн Архимед,гр1,
Дубна 7,32,200,5,Дом,Постоянный,бассейн Архимед,гр2 вода,
Дубна 7,32,200,6,Дом,Постоянный,бассейн Архимед,гр3,
Дубна 7,32,200,7,Фонарь,ШИМ,,вдоль бассейна,
Дубна 7,32,200,8,---,Постоянный,,,
Дубна 7,32,201,1,Дом,Постоянный,"Гостиница Дубна, корпус 3",гр1,
Дубна 7,32,201,2,Дом,Постоянный,"Гостиница Дубна, корпус 3",гр2,
Дубна 7,32,201,3,Дом,Постоянный,"Гостиница Дубна, корпус 3",гр3,
Дубна 7,32,201,4,Дом,Постоянный,"Гостиница Дубна, корпус 3",гр4,
Дубна 7,32,201,5,Дом,Постоянный,"Гостиница Дубна, корпус 3",гр5,
Дубна 7,32,201,6,---,Постоянный,,,
Дубна 7,32,201,7,Фонарь,ШИМ,,набережная,
Дубна 7,32,201,8,Фонарь,ШИМ,,сквер у гостиницы,
Дубна 7,32,202,1,Дом,Постоянный,"Гостиница Дубна, корпус 3",1 этаж,
Дубна 7,32,202,2,Дом,Постоянный,"Гостиница Дубна, корпус 4",гр6,
Дубна 7,32,202,3,Дом,Постоянный,"Гостиница Дубна, корпус 5",гр7,
Дубна 7,32,202,4,Дом,Постоянный,"Гостиница Дубна, корпус 6",гр8,
Дубна 7,32,202,5,Дом,Постоянный,"Гостиница Дубна, корпус 7",гр9,
Дубна 7,32,202,6,Дом,Постоянный,"Гостиница Дубна, корпус 8",гр10,
Дубна 7,32,202,7,Фонарь,ШИМ,,городские,
Дубна 7,32,202,8,---,Постоянный,,,
Дубна 8,36,196,1,---,Постоянный,,,
Дубна 8,36,196,2,Машинка,Постоянный,,,
Дубна 8,36,196,3,Дом,Постоянный,многоквартирный дом для ученых 1,,
Дубна 8,36,196,4,Дом,Постоянный,Дом ученых ОИЯИ,,
Дубна 8,36,196,5,Дом,Постоянный,музей истории науки и техники ОИЯИ,,
Дубна 8,36,196,6,Дом,Постоянный,многоквартирный дом для ученых 2,,
Дубна 8,36,196,7,Фонарь,ШИМ,,городские,
Дубна 8,36,196,8,Фонарь,ШИМ,,сквер,
Дубна 8,36,197,1,Плеер,Постоянный,,пляж Дубна,
Дубна 8,36,197,2,Дом,Постоянный,церковь Похвалы Пресвятой Богородицы,,
Дубна 8,36,197,3,Дом,Постоянный,"гостиница Дубна, корпус 1",1ый этаж,
Дубна 8,36,197,4,Дом,Постоянный,коттедж руководства ОИЯИ 1,,
Дубна 8,36,197,5,Дом,Постоянный,коттедж руководства ОИЯИ 2,,
Дубна 8,36,197,6,Дом,Постоянный,"ДК ""Мир""",,
Дубна 8,36,197,7,Фонарь,ШИМ,,в парке вокруг ДК,
Дубна 8,36,197,8,Фонарь,ШИМ,,"Солнечная система, световая инсталляция",
Дубна 8,36,198,1,Дом,Постоянный,"гостиница Дубна, корпус 1",гр1,
Дубна 8,36,198,2,Дом,Постоянный,"гостиница Дубна, корпус 2",гр2,
Дубна 8,36,198,3,Дом,Постоянный,"гостиница Дубна, корпус 3",гр3,
Дубна 8,36,198,4,Дом,Постоянный,"гостиница Дубна, корпус 4",гр4,
Дубна 8,36,198,5,Дом,Постоянный,"гостиница Дубна, корпус 5",гр5,
Дубна 8,36,198,6,Дом,Постоянный,"гостиница Дубна, корпус 6",гр6,
Дубна 8,36,198,7,---,Постоянный,,,
Дубна 8,36,198,8,---,Постоянный,,,
Дубна 9,42,203,1,Машинка,Постоянный,,,
Дубна 9,42,203,2,Дом,Постоянный,семейный коттедж ОИЯИ 1,,
Дубна 9,42,203,3,Дом,Постоянный,семейный коттедж ОИЯИ 2,,
Дубна 9,42,203,4,Дом,Постоянный,Центр космической связи,,
Дубна 9,42,203,5,Дом,Постоянный,КПП ЦКС,,
Дубна 9,42,203,6,---,Постоянный,,,
Дубна 9,42,203,7,Фонарь,ШИМ,,территория ЦКС,
Дубна 9,42,203,8,---,Постоянный,,,
Дубна 10,15,211,1,Дом,Постоянный,здание коллайдера NICA,части здания + переход,
Дубна 10,15,211,2,Плеер,Постоянный,,коллайдер NICA,
Дубна 10,15,211,3,Машинка,Постоянный,,,расположение на клапане Дубна 13
Дубна 10,15,211,4,Дом,Постоянный,детектор MPD ОИЯИ,rgb дальний детектор,
Дубна 10,15,211,5,Дом,Постоянный,детектор SPD ОИЯИ,rgb ближний детектор,
Дубна 10,15,211,6,---,Постоянный,,,
Дубна 10,15,211,7,Фонарь,ШИМ,,со всего этго клапана (Дубна 10),
Дубна 10,15,211,8,Фонарь,ШИМ,,,расположение на клапане Дубна 13
Дубна 10,15,212,1,Плеер,Постоянный,,синхрофазотрон,
Дубна 10,15,212,2,Дом,Постоянный,корпус BMAN детекторов ОИЯИ,,
Дубна 10,15,212,3,Дом,Постоянный,BMAN детекторы ОИЯИ,rgb,
Дубна 10,15,212,4,Дом,Постоянный,зал синхрофазотрона ОИЯИ,,
Дубна 10,15,212,5,Дом,Постоянный,дальнее крыло основного корпуса №1 ОИЯИ,,
Дубна 10,15,212,6,Дом,Постоянный,корпус 1А ОИЯИ,,
Дубна 10,15,212,7,---,Постоянный,,,
Дубна 10,15,212,8,---,Постоянный,,,
Дубна 13,15 (Дубна 10),,1,---,Постоянный,,,
Дубна 13,15 (Дубна 10),,2,---,Постоянный,,,
Дубна 13,15 (Дубна 10),,3,---,Постоянный,машинки,,подключено на этом канале на ld 211
Дубна 13,15 (Дубна 10),,4,---,Постоянный,,,
Дубна 13,15 (Дубна 10),,5,---,Постоянный,,,
Дубна 13,15 (Дубна 10),,6,---,Постоянный,,,
Дубна 13,15 (Дубна 10),,7,---,Постоянный,,,
Дубна 13,15 (Дубна 10),,8,---,Постоянный,фонари,,подключено на этом канале на ld 211
Борок 1,11,220,1,Машинка,Постоянный,,,
Борок 1,11,220,2,Дом,Постоянный,Троицкая церковь,,
Борок 1,11,220,3,Дом,Постоянный,Главный Корпус ИБВВ РАН,,
Борок 1,11,220,4,Дом,Постоянный,дом-музей И.Д. Папанина,,
Борок 1,11,220,5,Дом,Постоянный,корпус ИБВВ РАН им. И.Д. Папанина,,
Борок 1,11,220,6,Фонарь,Мигающий,,костер,
Борок 1,11,220,7,Фонарь,ШИМ,,вместе с 221.7 составляет одну нить фонарей,
Борок 1,11,220,8,Фонарь,ШИМ,,вместе с 222.7 составляет одну нить фонарей,
Борок 2,12,221,1,Дом,Постоянный,Музейно-административный комплекс ИБВВ РАН,гр1,
Борок 2,12,221,2,Дом,Постоянный,Музейно-административный комплекс ИБВВ РАН,гр2,
Борок 2,12,221,3,Дом,Постоянный,Музейно-административный комплекс ИБВВ РАН,гр3,
Борок 2,12,221,4,Дом,Постоянный,дом-музей Морозова,,
Борок 2,12,221,5,Дом,Постоянный,д/с,типовая 2хэтажная застройка,
Борок 2,12,221,6,Дом,Постоянный,д/с,дача,
Борок 2,12,221,7,Фонарь,ШИМ,,вместе с 220.7 составляет одну нить фонарей,
Борок 2,12,221,8,---,Постоянный,,,
Борок 2,12,222,1,---,Постоянный,,,
Борок 2,12,222,2,Дом,Постоянный,д/с,"типовой 4эт, подъезды",
Борок 2,12,222,3,Дом,Постоянный,д/с,"типовой 4эт, гр1",
Борок 2,12,222,4,Дом,Постоянный,д/с,"типовой 4эт, гр2",
Борок 2,12,222,5,Дом,Постоянный,д/с,"типовой 4эт, гр3",
Борок 2,12,222,6,Дом,Постоянный,д/с,"типовой 4эт, гр4",
Борок 2,12,222,7,Фонарь,ШИМ,,вместе с 220.8 составляет одну нить фонарей,
Борок 2,12,222,8,Фонарь,ШИМ,,городские,
Борок 2,12,223,1,Дом,Постоянный,д/с,"типовой 4эт, подъезды",
Борок 2,12,223,2,Дом,Постоянный,д/с,"типовой 4эт, гр1",
Борок 2,12,223,3,Дом,Постоянный,д/с,"типовой 4эт, гр2",
Борок 2,12,223,4,Дом,Постоянный,д/с,"типовой 4эт, гр3",
Борок 2,12,223,5,Дом,Постоянный,д/с,"типовой 4эт, гр4",
Борок 2,12,223,6,Дом,Постоянный,д/с,администрация поселка,
Борок 2,12,223,7,Дом,Постоянный,комплекс Геофизической обсерватории,,
Борок 2,12,223,8,---,Постоянный,,,
Борок 2,12,224,1,Машинка,Постоянный,,,
Борок 2,12,224,2,Дом,Постоянный,д/с,кирпичный дом по главной улице,
Борок 2,12,224,3,Дом,Постоянный,Ихтиологический корпус ИБВВ РАН,гр1,
Борок 2,12,224,4,Дом,Постоянный,Ихтиологический корпус ИБВВ РАН,гр2,
Борок 2,12,224,5,Дом,Постоянный,Ихтиологический корпус ИБВВ РАН,гр3,
Борок 2,12,224,6,Дом,Постоянный,ДК,,
Борок 2,12,224,7,---,Постоянный,,,
Борок 2,12,224,8,---,Постоянный,,,
